year,site,site_abbreviation,tile_number,surface,acroporidae,pocilloporidae,poritidae,other,total
2018-19,corner_beach,CB,1,bottom ,1,0,0,0,1
2018-19,corner_beach,CB,1,top,1,0,0,0,1
2018-19,corner_beach,CB,1,side,1,0,0,0,1
2018-19,corner_beach,CB,2,bottom ,2,2,0,0,4
2018-19,corner_beach,CB,2,top,0,0,0,0,0
2018-19,corner_beach,CB,2,side,0,1,1,0,2
2018-19,corner_beach,CB,3,bottom ,0,1,0,0,1
2018-19,corner_beach,CB,3,top,0,0,0,0,0
2018-19,corner_beach,CB,3,side,0,1,0,0,1
2018-19,corner_beach,CB,4,bottom ,2,0,0,0,2
2018-19,corner_beach,CB,4,top,0,0,0,0,0
2018-19,corner_beach,CB,4,side,0,0,0,0,0
2018-19,corner_beach,CB,5,bottom ,0,1,0,0,1
2018-19,corner_beach,CB,5,top,0,0,0,0,0
2018-19,corner_beach,CB,5,side,0,0,0,0,0
2018-19,corner_beach,CB,6,bottom ,1,0,2,0,3
2018-19,corner_beach,CB,6,top,0,0,0,0,0
2018-19,corner_beach,CB,6,side,0,1,0,0,1
2018-19,horseshoe,HS,1,bottom ,0,0,0,0,0
2018-19,horseshoe,HS,1,top,0,0,0,0,0
2018-19,horseshoe,HS,1,side,0,0,0,0,0
2018-19,horseshoe,HS,2,bottom ,1,4,0,0,5
2018-19,horseshoe,HS,2,top,0,0,0,0,0
2018-19,horseshoe,HS,2,side,0,0,0,0,0
2018-19,horseshoe,HS,3,bottom ,0,3,0,0,3
2018-19,horseshoe,HS,3,top,0,0,0,0,0
2018-19,horseshoe,HS,3,side,0,0,0,0,0
2018-19,horseshoe,HS,4,bottom ,0,1,0,0,1
2018-19,horseshoe,HS,4,top,0,0,0,0,0
2018-19,horseshoe,HS,4,side,2,0,0,0,2
2018-19,horseshoe,HS,5,bottom ,1,2,0,0,3
2018-19,horseshoe,HS,5,top,1,0,0,0,1
2018-19,horseshoe,HS,5,side,0,0,0,0,0
2018-19,horseshoe,HS,6,bottom ,0,0,0,0,0
2018-19,horseshoe,HS,6,top,0,0,0,0,0
2018-19,horseshoe,HS,6,side,0,0,0,0,0
2018-19,lagoon_1,LG_1,1,bottom ,0,1,0,0,1
2018-19,lagoon_1,LG_1,1,top,0,0,0,0,0
2018-19,lagoon_1,LG_1,1,side,0,0,0,0,0
2018-19,lagoon_1,LG_1,2,bottom ,0,0,0,0,0
2018-19,lagoon_1,LG_1,2,top,0,0,0,0,0
2018-19,lagoon_1,LG_1,2,side,0,0,0,0,0
2018-19,lagoon_1,LG_1,3,bottom ,0,0,0,0,0
2018-19,lagoon_1,LG_1,3,top,0,0,0,0,0
2018-19,lagoon_1,LG_1,3,side,0,0,0,0,0
2018-19,lagoon_1,LG_1,4,bottom ,1,0,0,0,1
2018-19,lagoon_1,LG_1,4,top,0,0,0,0,0
2018-19,lagoon_1,LG_1,4,side,0,0,0,0,0
2018-19,lagoon_1,LG_1,5,bottom ,0,2,0,0,2
2018-19,lagoon_1,LG_1,5,top,0,0,0,0,0
2018-19,lagoon_1,LG_1,5,side,0,0,0,0,0
2018-19,lagoon_1,LG_1,6,bottom ,1,0,0,0,1
2018-19,lagoon_1,LG_1,6,top,0,0,0,0,0
2018-19,lagoon_1,LG_1,6,side,0,0,0,0,0
2018-19,north_reef_2,NR_2,1,bottom ,3,7,0,0,10
2018-19,north_reef_2,NR_2,1,top,0,0,0,0,0
2018-19,north_reef_2,NR_2,1,side,0,0,0,0,0
2018-19,north_reef_2,NR_2,2,bottom ,1,3,0,0,4
2018-19,north_reef_2,NR_2,2,top,0,0,0,0,0
2018-19,north_reef_2,NR_2,2,side,0,0,0,0,0
2018-19,north_reef_2,NR_2,3,bottom ,4,2,1,0,7
2018-19,north_reef_2,NR_2,3,top,0,0,0,0,0
2018-19,north_reef_2,NR_2,3,side,1,0,0,0,1
2018-19,north_reef_2,NR_2,4,bottom ,3,0,0,0,3
2018-19,north_reef_2,NR_2,4,top,0,0,0,0,0
2018-19,north_reef_2,NR_2,4,side,1,0,0,0,1
2018-19,north_reef_2,NR_2,5,bottom ,1,1,0,0,2
2018-19,north_reef_2,NR_2,5,top,1,0,0,0,1
2018-19,north_reef_2,NR_2,5,side,0,0,0,0,0
2018-19,north_reef_2,NR_2,6,bottom ,5,1,0,0,6
2018-19,north_reef_2,NR_2,6,top,0,0,0,0,0
2018-19,north_reef_2,NR_2,6,side,0,1,0,0,1
2018-19,resort,RE,1,bottom ,5,0,0,0,5
2018-19,resort,RE,1,top,0,0,0,0,0
2018-19,resort,RE,1,side,0,0,0,0,0
2018-19,resort,RE,2,bottom ,13,6,0,0,19
2018-19,resort,RE,2,top,1,0,0,0,1
2018-19,resort,RE,2,side,0,0,0,0,0
2018-19,resort,RE,3,bottom ,1,0,0,0,1
2018-19,resort,RE,3,top,0,0,0,0,0
2018-19,resort,RE,3,side,0,0,0,0,0
2018-19,resort,RE,4,bottom ,1,0,0,0,1
2018-19,resort,RE,4,top,0,0,0,0,0
2018-19,resort,RE,4,side,0,0,0,0,0
2018-19,resort,RE,5,bottom ,0,0,0,0,0
2018-19,resort,RE,5,top,0,0,0,0,0
2018-19,resort,RE,5,side,0,0,0,0,0
2018-19,resort,RE,6,bottom ,2,1,1,0,4
2018-19,resort,RE,6,top,0,0,0,0,0
2018-19,resort,RE,6,side,3,0,0,0,3
2018-19,southeast,SE,1,bottom ,0,0,0,0,0
2018-19,southeast,SE,1,top,0,0,0,0,0
2018-19,southeast,SE,1,side,0,0,0,0,0
2018-19,southeast,SE,2,bottom ,0,0,0,0,0
2018-19,southeast,SE,2,top,0,0,0,0,0
2018-19,southeast,SE,2,side,0,0,0,0,0
2018-19,southeast,SE,3,bottom ,0,0,0,0,0
2018-19,southeast,SE,3,top,0,0,0,0,0
2018-19,southeast,SE,3,side,0,1,0,0,1
2018-19,southeast,SE,4,bottom ,1,0,0,0,1
2018-19,southeast,SE,4,top,0,0,0,0,0
2018-19,southeast,SE,4,side,0,0,0,0,0
2018-19,southeast,SE,5,bottom ,0,1,0,0,1
2018-19,southeast,SE,5,top,0,0,0,0,0
2018-19,southeast,SE,5,side,0,0,0,0,0
2018-19,southeast,SE,6,bottom ,0,0,0,0,0
2018-19,southeast,SE,6,top,0,0,0,0,0
2018-19,southeast,SE,6,side,0,0,0,0,0
2018-19,turtle_beach,TB,1,bottom ,0,0,0,0,0
2018-19,turtle_beach,TB,1,top,1,0,0,0,1
2018-19,turtle_beach,TB,1,side,0,0,0,0,0
2018-19,turtle_beach,TB,2,bottom ,0,0,0,0,0
2018-19,turtle_beach,TB,2,top,0,0,0,0,0
2018-19,turtle_beach,TB,2,side,5,0,0,0,5
2018-19,turtle_beach,TB,3,bottom ,16,0,0,0,16
2018-19,turtle_beach,TB,3,top,1,0,0,0,1
2018-19,turtle_beach,TB,3,side,0,0,0,0,0
2018-19,turtle_beach,TB,4,bottom ,3,0,0,0,3
2018-19,turtle_beach,TB,4,top,0,0,0,0,0
2018-19,turtle_beach,TB,4,side,4,0,0,0,4
2018-19,turtle_beach,TB,5,bottom ,0,0,0,0,0
2018-19,turtle_beach,TB,5,top,0,0,0,0,0
2018-19,turtle_beach,TB,5,side,0,0,0,0,0
2018-19,turtle_beach,TB,6,bottom ,7,0,0,0,7
2018-19,turtle_beach,TB,6,top,0,0,0,0,0
2018-19,turtle_beach,TB,6,side,1,0,0,0,1
2018-19,vickies,VI,1,bottom ,1,1,0,0,2
2018-19,vickies,VI,1,top,0,0,0,0,0
2018-19,vickies,VI,1,side,0,0,0,0,0
2018-19,vickies,VI,2,bottom ,0,4,1,0,5
2018-19,vickies,VI,2,top,0,0,0,0,0
2018-19,vickies,VI,2,side,1,1,0,0,2
2018-19,vickies,VI,3,bottom ,0,0,0,0,0
2018-19,vickies,VI,3,top,0,0,0,0,0
2018-19,vickies,VI,3,side,0,0,0,0,0
2018-19,vickies,VI,4,bottom ,0,0,0,0,0
2018-19,vickies,VI,4,top,1,0,0,0,1
2018-19,vickies,VI,4,side,0,0,0,0,0
2018-19,vickies,VI,5,bottom ,0,0,0,0,0
2018-19,vickies,VI,5,top,0,0,1,0,1
2018-19,vickies,VI,5,side,1,0,0,0,1
2018-19,vickies,VI,6,bottom ,2,0,0,0,2
2018-19,vickies,VI,6,top,0,0,0,0,0
2018-19,vickies,VI,6,side,0,1,0,0,1
2019-20,southeast,SE,1,bottom ,0,5,0,0,5
2019-20,southeast,SE,1,top,0,0,0,0,0
2019-20,southeast,SE,1,side,0,0,0,0,0
2019-20,southeast,SE,2,bottom ,0,1,0,0,1
2019-20,southeast,SE,2,top,0,0,0,0,0
2019-20,southeast,SE,2,side,1,0,0,0,1
2019-20,southeast,SE,3,bottom ,0,1,0,0,1
2019-20,southeast,SE,3,top,0,0,0,0,0
2019-20,southeast,SE,3,side,0,0,0,0,0
2019-20,southeast,SE,4,bottom ,0,0,0,0,0
2019-20,southeast,SE,4,top,0,0,0,0,0
2019-20,southeast,SE,4,side,2,0,0,0,2
2019-20,southeast,SE,5,bottom ,0,1,0,0,1
2019-20,southeast,SE,5,top,0,0,0,0,0
2019-20,southeast,SE,5,side,0,0,0,0,0
2019-20,southeast,SE,6,bottom ,0,0,0,0,0
2019-20,southeast,SE,6,top,0,0,0,0,0
2019-20,southeast,SE,6,side,0,0,0,0,0
2019-20,horseshoe,HS,1,bottom ,1,7,0,0,8
2019-20,horseshoe,HS,1,top,0,0,0,0,0
2019-20,horseshoe,HS,1,side,0,0,0,0,0
2019-20,horseshoe,HS,2,bottom ,0,6,0,0,6
2019-20,horseshoe,HS,2,top,0,0,0,0,0
2019-20,horseshoe,HS,2,side,0,0,0,0,0
2019-20,horseshoe,HS,3,bottom ,1,4,0,0,5
2019-20,horseshoe,HS,3,top,0,0,0,0,0
2019-20,horseshoe,HS,3,side,0,0,0,0,0
2019-20,horseshoe,HS,4,bottom ,2,19,0,0,21
2019-20,horseshoe,HS,4,top,1,0,0,0,1
2019-20,horseshoe,HS,4,side,0,0,0,0,0
2019-20,horseshoe,HS,5,bottom ,4,14,1,0,19
2019-20,horseshoe,HS,5,top,0,0,0,0,0
2019-20,horseshoe,HS,5,side,0,0,0,0,0
2019-20,horseshoe,HS,6,bottom ,0,14,0,0,14
2019-20,horseshoe,HS,6,top,0,0,0,0,0
2019-20,horseshoe,HS,6,side,0,0,0,0,0
2019-20,lagoon_1,LG_1,1,bottom ,0,0,0,0,0
2019-20,lagoon_1,LG_1,1,top,0,0,0,0,0
2019-20,lagoon_1,LG_1,1,side,0,0,0,0,0
2019-20,lagoon_1,LG_1,2,bottom ,0,3,0,0,3
2019-20,lagoon_1,LG_1,2,top,0,0,0,0,0
2019-20,lagoon_1,LG_1,2,side,0,0,0,0,0
2019-20,lagoon_1,LG_1,3,bottom ,0,2,0,0,2
2019-20,lagoon_1,LG_1,3,top,0,0,0,0,0
2019-20,lagoon_1,LG_1,3,side,0,0,0,0,0
2019-20,lagoon_1,LG_1,4,bottom ,0,0,0,0,0
2019-20,lagoon_1,LG_1,4,top,0,0,0,0,0
2019-20,lagoon_1,LG_1,4,side,0,0,0,0,0
2019-20,lagoon_1,LG_1,5,bottom ,0,1,0,0,1
2019-20,lagoon_1,LG_1,5,top,0,0,0,0,0
2019-20,lagoon_1,LG_1,5,side,0,0,0,0,0
2019-20,lagoon_1,LG_1,6,bottom ,0,2,0,0,2
2019-20,lagoon_1,LG_1,6,top,0,0,0,0,0
2019-20,lagoon_1,LG_1,6,side,0,0,0,0,0
2019-20,resort,RE,1,bottom ,1,4,0,0,5
2019-20,resort,RE,1,top,0,0,0,0,0
2019-20,resort,RE,1,side,0,0,0,0,0
2019-20,resort,RE,2,bottom ,3,6,1,0,10
2019-20,resort,RE,2,top,0,0,0,0,0
2019-20,resort,RE,2,side,0,0,0,0,0
2019-20,resort,RE,3,bottom ,7,7,0,0,14
2019-20,resort,RE,3,top,0,0,0,0,0
2019-20,resort,RE,3,side,0,0,0,0,0
2019-20,resort,RE,4,bottom ,1,0,0,0,1
2019-20,resort,RE,4,top,0,0,0,0,0
2019-20,resort,RE,4,side,1,0,0,0,1
2019-20,resort,RE,5,bottom ,4,3,0,0,7
2019-20,resort,RE,5,top,0,0,0,0,0
2019-20,resort,RE,5,side,1,0,0,0,1
2019-20,resort,RE,6,bottom ,6,1,0,0,7
2019-20,resort,RE,6,top,0,0,0,0,0
2019-20,resort,RE,6,side,1,0,0,0,1
2019-20,north_reef_3,NR_3,1,bottom ,0,8,0,0,8
2019-20,north_reef_3,NR_3,1,top,0,0,0,0,0
2019-20,north_reef_3,NR_3,1,side,0,1,0,0,1
2019-20,north_reef_3,NR_3,2,bottom ,1,4,0,0,5
2019-20,north_reef_3,NR_3,2,top,0,0,0,0,0
2019-20,north_reef_3,NR_3,2,side,0,0,0,0,0
2019-20,north_reef_3,NR_3,3,bottom ,4,15,0,0,19
2019-20,north_reef_3,NR_3,3,top,0,0,0,0,0
2019-20,north_reef_3,NR_3,3,side,0,0,0,0,0
2019-20,north_reef_3,NR_3,4,bottom ,1,11,1,0,13
2019-20,north_reef_3,NR_3,4,top,0,0,0,0,0
2019-20,north_reef_3,NR_3,4,side,0,0,0,0,0
2019-20,north_reef_3,NR_3,5,bottom ,0,23,0,0,23
2019-20,north_reef_3,NR_3,5,top,0,0,0,0,0
2019-20,north_reef_3,NR_3,5,side,0,0,0,0,0
2019-20,north_reef_3,NR_3,6,bottom ,1,6,2,0,9
2019-20,north_reef_3,NR_3,6,top,0,0,0,0,0
2019-20,north_reef_3,NR_3,6,side,5,0,0,0,5
2019-20,vickies,VI,1,bottom ,0,0,0,0,0
2019-20,vickies,VI,1,top,0,0,0,0,0
2019-20,vickies,VI,1,side,0,0,0,0,0
2019-20,vickies,VI,2,bottom ,2,1,0,1,4
2019-20,vickies,VI,2,top,0,0,0,0,0
2019-20,vickies,VI,2,side,3,2,0,0,5
2019-20,vickies,VI,3,bottom ,0,4,0,0,4
2019-20,vickies,VI,3,top,0,0,0,0,0
2019-20,vickies,VI,3,side,1,2,0,0,3
2019-20,vickies,VI,4,bottom ,2,1,0,0,3
2019-20,vickies,VI,4,top,0,0,0,0,0
2019-20,vickies,VI,4,side,0,0,0,0,0
2019-20,vickies,VI,5,bottom ,2,0,0,1,3
2019-20,vickies,VI,5,top,0,0,0,0,0
2019-20,vickies,VI,5,side,0,0,0,0,0
2019-20,vickies,VI,6,bottom ,4,1,0,0,5
2019-20,vickies,VI,6,top,0,0,0,0,0
2019-20,vickies,VI,6,side,0,0,0,0,0
2019-20,turtle_beach,TB,1,bottom ,1,6,0,0,7
2019-20,turtle_beach,TB,1,top,0,0,0,0,0
2019-20,turtle_beach,TB,1,side,0,0,0,0,0
2019-20,turtle_beach,TB,2,bottom ,0,0,0,0,0
2019-20,turtle_beach,TB,2,top,0,0,0,0,0
2019-20,turtle_beach,TB,2,side,0,0,0,0,0
2019-20,turtle_beach,TB,3,bottom ,0,2,0,0,2
2019-20,turtle_beach,TB,3,top,0,0,0,0,0
2019-20,turtle_beach,TB,3,side,0,0,0,0,0
2019-20,turtle_beach,TB,4,bottom ,0,0,0,0,0
2019-20,turtle_beach,TB,4,top,0,0,0,0,0
2019-20,turtle_beach,TB,4,side,0,0,0,0,0
2019-20,turtle_beach,TB,5,bottom ,0,2,0,0,2
2019-20,turtle_beach,TB,5,top,0,0,0,0,0
2019-20,turtle_beach,TB,5,side,0,0,0,0,0
2019-20,turtle_beach,TB,6,bottom ,0,0,0,0,0
2019-20,turtle_beach,TB,6,top,0,0,0,0,0
2019-20,turtle_beach,TB,6,side,0,2,0,0,2
2019-20,corner_beach,CB,1,bottom ,0,1,0,0,1
2019-20,corner_beach,CB,1,top,0,0,0,0,0
2019-20,corner_beach,CB,1,side,0,1,0,0,1
2019-20,corner_beach,CB,2,bottom ,0,3,0,0,3
2019-20,corner_beach,CB,2,top,0,0,0,0,0
2019-20,corner_beach,CB,2,side,0,0,0,0,0
2019-20,corner_beach,CB,3,bottom ,0,1,0,1,2
2019-20,corner_beach,CB,3,top,0,0,0,0,0
2019-20,corner_beach,CB,3,side,0,0,0,0,0
2019-20,corner_beach,CB,4,bottom ,0,0,0,0,0
2019-20,corner_beach,CB,4,top,0,0,0,0,0
2019-20,corner_beach,CB,4,side,0,1,0,0,1
2019-20,corner_beach,CB,5,bottom ,0,1,0,0,1
2019-20,corner_beach,CB,5,top,0,0,0,0,0
2019-20,corner_beach,CB,5,side,2,1,0,0,3
2019-20,corner_beach,CB,6,bottom ,0,2,0,0,2
2019-20,corner_beach,CB,6,top,0,0,0,0,0
2019-20,corner_beach,CB,6,side,0,0,0,0,0