Species,ForageMode,FoodTroph,ColumnFeed,Schooling,Range,TrophParr
Abudefduf whitleyi,suction,2.64,pelagic,3,2,plank
Acanthochromis polyacanthus,suction,2.69,pelagic,2,1,plank
Acanthurus blochii,cropper,2,benthic,3,3,herb_mic
Acanthurus nigricauda,cropper,2.99,benthic,2,3,herb_mic
Acanthurus nigrofuscus,cropper,2,benthic,4,3,herb_mic
Acanthurus olivaceus,picking,2.26,benthic,3,3,det
Amblyglyphidodon curacao,suction,3.099999905,pelagic,2,1,plank
Balistoides viridescens,picking,3.33,benthic,1,2,macro_inv
Bodianus axillaris,picking,3.42,benthic,2,2,macro_inv
Caranx sexfasciatus,active,3.58,pelagic,4,4,pisc
Carcharhinus melanopterus,active,4.33,pelagic,1,4,pisc
Centropyge bicolor,cropper,2.97,benthic,2,2,sess_inv
Cephalopholis argus,ambush,4.16,demersal,3,2,pisc
Chaetodon auriga,picking,3.130000114,benthic,2,3,micro_inv
Chaetodon baronessa,picking,3.34,benthic,1,2,cor
Chaetodon citrinellus,picking,2.98,benthic,2,2,cor
Chaetodon ephippium,picking,3.01,benthic,2,2,cor
Chaetodon lineolatus,picking,3.39,benthic,2,2,cor
Chaetodon lunulatus,picking,3.34,benthic,2,2,cor
Chaetodon melannotus,picking,3.47,benthic,1,2,cor
Chaetodon rafflesii,picking,3.4,benthic,2,2,micro_inv
Chaetodon ulietensis,picking,2.71,benthic,2,2,cor
Chaetodon unimaculatus,picking,3.21,benthic,3,3,cor
Chaetodon vagabundus,picking,2.9,benthic,2,2,cor
Cheilinus chlorourus,picking,3.46,demersal,2,2,crust
Cheilinus fasciatus,active,3.37,demersal,1,2,macro_inv
Cheilinus trilobatus,active,3.920000076,demersal,1,2,macro_inv
Chlorurus microrhinos,excavator,2.1,benthic,3,3,herb_mic
Chlorurus spilurus,excavator,2.6,benthic,2,2,herb_mic
Chromis viridis,suction,2.5,pelagic,4,2,plank
Chrysiptera caesifrons,picking,2.8,demersal,2,1,herb_mic
Cirripectes stigmaticus,cropper,2,benthic,1,1,herb_mic
Coris gaimard,active,3.4,benthic,1,2,macro_inv
Ctenochaetus striatus,brushing,2,benthic,2,3,det
Dascyllus aruanus,suction,3.349999905,demersal,3,1,plank
Diagramma pictum,active,3.39,benthic,2,3,macro_inv
Dischistodus prosopotaenia,farmer,2.7,benthic,2,2,herb_mic
Dischistodus pseudochrysopoecilus,farmer,2,benthic,2,1,herb_mic
Epibulus insidiator,active,4.01,demersal,1,2,pisc
Grammatorcynus bicarinatus,active,4.5,pelagic,4,4,pisc
Halichoeres chloropterus,picking,3.37,benthic,1,2,macro_inv
Halichoeres margaritaceus,picking,3.66,benthic,1,2,crust
Halichoeres marginatus,picking,3.2,benthic,1,2,micro_inv
Halichoeres melanurus,picking,2.9,benthic,1,2,micro_inv
Halichoeres nebulosus,picking,3.3,benthic,1,2,macro_inv
Hemigymnus melapterus,picking,3.55,benthic,1,2,micro_inv
Hipposcarus longiceps,scraper,2.73,benthic,3,3,herb_mic
Labrichthys unilineatus,picking,3.34,benthic,2,2,cor
Labroides dimidiatus,cleaner,3.85,pelagic,1,2,plank
Lethrinus atkinsoni,active,3.51,demersal,2,4,macro_inv
Lethrinus lentjan,active,3.869999886,demersal,1,4,crust
Lethrinus nebulosus,picking,3.640000105,demersal,2,4,macro_inv
Lethrinus ornatus,picking,3.369999886,demersal,2,3,macro_inv
Lutjanus bohar,active,3.619999886,demersal,1,4,pisc
Lutjanus carponotatus,active,4.02,demersal,4,4,crust
Lutjanus fulviflamma,active,3.85,demersal,4,4,crust
Lutjanus gibbus,picking,3.630000114,demersal,3,2,micro_inv
Macropharyngodon meleagris,picking,3.1,benthic,1,2,herb_mic
Macropharyngodon negrosensis,picking,3.5,benthic,3,2,macro_inv
Naso brevirostris,cropper,2.22,benthic,3,3,herb_mic
Naso lituratus,browser,2.32,benthic,3,3,herb_mic
Naso unicornis,browser,2.17,benthic,3,3,herb_mic
Neoglyphidodon melas,picking,3.02,benthic,2,1,plank
Novaculichthys taeniourus,active,3.25,benthic,2,2,macro_inv
Parupeneus barberinus,brushing,3.44,benthic,2,2,micro_inv
Parupeneus cyclostomus,active,4.08,benthic,1,2,pisc
Parupeneus multifasciatus,brushing,3.61,benthic,3,3,crust
Plectropomus leopardus,active,4.41,demersal,1,2,pisc
Pomacanthus sexstriatus,picking,2.63,benthic,2,3,sess_inv
Pomacentrus chrysurus,picking,2.64,benthic,2,1,herb_mic
Pomacentrus coelestis,picking,3.18,demersal,3,2,micro_inv
Pomacentrus grammorhynchus,farmer,2.72,demersal,2,1,herb_mic
Pomacentrus moluccensis,picking,2.47,demersal,3,1,plank
Pomacentrus wardi,farmer,2,benthic,2,1,herb_mic
Scarus altipinnis,scraper,2,benthic,4,3,herb_mic
Scarus chameleon,scraper,2,benthic,3,3,herb_mic
Scarus flavipectoralis,scraper,2,benthic,1,3,herb_mic
Scarus frenatus,scraper,2,benthic,2,3,herb_mic
Scarus globiceps,scraper,2,benthic,1,3,herb_mic
Scarus niger,scraper,2,benthic,1,2,herb_mic
Scarus psittacus,scraper,2,benthic,3,3,herb_mic
Scarus rivulatus,scraper,2.71,benthic,4,3,herb_mic
Scarus rubroviolaceus,scraper,2,benthic,2,3,herb_mic
Scarus schlegeli,scraper,2.75,benthic,1,3,herb_mic
Scolopsis bilineata,active,3.62,demersal,2,2,crust
Siganus argenteus,cropper,2.630000114,benthic,4,4,herb_mic
Siganus corallinus,cropper,2.46,benthic,2,2,herb_mic
Siganus doliatus,cropper,2,benthic,2,2,herb_mic
Siganus puellus,cropper,3,benthic,2,2,sess_inv
Siganus punctatissimus,cropper,2,benthic,2,2,herb_mic
Siganus punctatus,cropper,2,benthic,2,2,herb_mic
Siganus vulpinus,cropper,2.68,benthic,2,2,herb_mic
Stegastes apicalis,farmer,2.38,benthic,2,1,herb_mic
Stethojulis bandanensis,active,3.31,demersal,2,2,micro_inv
Stethojulis trilineata,active,3.2,demersal,3,2,micro_inv
Sufflamen chrysopterum,picking,3.45,benthic,1,1,micro_inv
Taeniurops meyeni,active,4.2,demersal,1,2,pisc
Thalassoma hardwicke,picking,3.5,benthic,3,2,micro_inv
Thalassoma lunare,picking,3.5,benthic,2,2,plank
Thalassoma lutescens,picking,3.7,benthic,3,3,macro_inv
Thalassoma nigrofasciatum,picking,3.23,demersal,3,2,macro_inv
Uraspis uraspis,active,4.07,pelagic,2,4,pisc
Zanclus cornutus,picking,2.49,demersal,2,2,sess_inv
Zebrasoma scopas,cropper,2,benthic,3,2,herb_mic