Species,TrophicGroup,ForageMode,FoodTroph,ColumnFeed,Source
Abudefduf whitleyi,planktivore,suction,2.64,pelagic,
Acanthochromis polyacanthus,planktivore,suction,2.69,pelagic,
Acanthurus blochii,herbivore,cropper,2,benthic,
Acanthurus nigricauda,herbivore,cropper,2.99,benthic,
Acanthurus nigrofuscus,herbivore,cropper,2,benthic,
Acanthurus olivaceus,detritovore,picking,2.26,benthic,
Amblyglyphidodon curacao,omnivore,suction,3.099999905,pelagic,
Balistoides viridescens,invertivore,picking,3.33,benthic,
Bodianus axillaris,invertivore,picking,3.42,benthic,
Caranx sexfasciatus,piscivore,active,3.58,pelagic,
Carcharhinus melanopterus,piscivore,active,4.33,pelagic,
Centropyge bicolor,herbivore,cropper,2.97,benthic,
Cephalopholis argus,piscivore,ambush,4.16,demersal,
Chaetodon auriga,omnivore,picking,3.130000114,benthic,
Chaetodon baronessa,corallivore,picking,3.34,benthic,
Chaetodon citrinellus,omnivore,picking,2.98,benthic,
Chaetodon ephippium,omnivore,picking,3.01,benthic,
Chaetodon lineolatus,omnivore,picking,3.39,benthic,
Chaetodon lunulatus,corallivore,picking,3.34,benthic,
Chaetodon melannotus,corallivore,picking,3.47,benthic,
Chaetodon rafflesii,omnivore,picking,3.4,benthic,
Chaetodon ulietensis,omnivore,picking,2.71,benthic,
Chaetodon unimaculatus,omnivore,picking,3.21,benthic,
Chaetodon vagabundus,omnivore,picking,2.9,benthic,
Cheilinus chlorourus,invertivore,picking,3.46,demersal,
Cheilinus fasciatus,invertivore,active,3.37,demersal,
Cheilinus trilobatus,invertivore,active,3.920000076,demersal,
Chlorurus microrhinos,herbivore,excavator,2.1,benthic,based off of Scarus frenatus and Green and Bellwood 2009
Chlorurus spilurus,herbivore,excavator,2.6,benthic,C. sordidus troph as stand-in for now.
Chromis viridis,planktivore,suction,2.5,pelagic,
Chrysiptera caesifrons,omnivore,picking,2.8,demersal,
Cirripectes stigmaticus,herbivore,cropper,2,benthic,
Coris gaimard,invertivore,active,3.4,benthic,
Ctenochaetus striatus,detritovore,brushing,2,benthic,
Dascyllus aruanus,planktivore,suction,3.349999905,demersal,
Diagramma pictum,invertivore,active,3.39,benthic,
Dischistodus prosopotaenia,herbivore,farmer,2.7,benthic,
Dischistodus pseudochrysopoecilus,herbivore,farmer,2,benthic,
Epibulus insidiator,piscivore,active,4.01,demersal,
Grammatorcynus bicarinatus,piscivore,active,4.5,pelagic,
Halichoeres chloropterus,invertivore,picking,3.37,benthic,
Halichoeres margaritaceus,invertivore,picking,3.66,benthic,
Halichoeres marginatus,invertivore,picking,3.2,benthic,
Halichoeres melanurus,invertivore,picking,2.9,benthic,
Halichoeres nebulosus,invertivore,picking,3.3,benthic,
Hemigymnus melapterus,invertivore,picking,3.55,benthic,
Hipposcarus longiceps,herbivore,scraper,2.73,benthic,
Labrichthys unilineatus,corallivore,picking,3.34,benthic,
Labroides dimidiatus,cleaner,cleaner,3.85,pelagic,
Lethrinus atkinsoni,invertivore,active,3.51,demersal,
Lethrinus lentjan,piscivore,active,3.869999886,demersal,
Lethrinus nebulosus,invertivore,picking,3.640000105,demersal,
Lethrinus ornatus,invertivore,picking,3.369999886,demersal,
Lutjanus bohar,piscivore,active,3.619999886,demersal,
Lutjanus carponotatus,piscivore,active,4.02,demersal,
Lutjanus fulviflamma,piscivore,active,3.85,demersal,
Lutjanus gibbus,invertivore,picking,3.630000114,demersal,
Macropharyngodon meleagris,invertivore,picking,3.1,benthic,
Macropharyngodon negrosensis,invertivore,picking,3.5,benthic,"Craig, M. & Yeeting, B. 2010. Macropharyngodon meleagris. The IUCN Red List of Threatened Species 2010: e.T187692A8602462. https://dx.doi.org/10.2305/IUCN.UK.2010-4.RLTS.T187692A8602462.en. Downloaded on 15 June 2020."
Naso brevirostris,herbivore,cropper,2.22,benthic,
Naso lituratus,herbivore,browser,2.32,benthic,
Naso unicornis,herbivore,browser,2.17,benthic,
Neoglyphidodon melas,omnivore,picking,3.02,benthic,
Novaculichthys taeniourus,invertivore,active,3.25,benthic,
Parupeneus barberinus,invertivore,brushing,3.44,benthic,
Parupeneus cyclostomus,piscivore,active,4.08,benthic,
Parupeneus multifasciatus,invertivore,brushing,3.61,benthic,
Plectropomus leopardus,piscivore,active,4.41,demersal,
Pomacanthus sexstriatus,omnivore,picking,2.63,benthic,
Pomacentrus chrysurus,omnivore,picking,2.64,benthic,
Pomacentrus coelestis,omnivore,picking,3.18,demersal,
Pomacentrus grammorhynchus,herbivore,farmer,2.72,demersal,
Pomacentrus moluccensis,omnivore,picking,2.47,demersal,
Pomacentrus wardi,herbivore,farmer,2,benthic,
Scarus altipinnis,herbivore,scraper,2,benthic,
Scarus chameleon,herbivore,scraper,2,benthic,
Scarus flavipectoralis,herbivore,scraper,2,benthic,
Scarus frenatus,herbivore,scraper,2,benthic,
Scarus globiceps,herbivore,scraper,2,benthic,
Scarus niger,herbivore,scraper,2,benthic,
Scarus psittacus,herbivore,scraper,2,benthic,
Scarus rivulatus,herbivore,scraper,2.71,benthic,
Scarus rubroviolaceus,herbivore,scraper,2,benthic,
Scarus schlegeli,herbivore,scraper,2.75,benthic,
Scolopsis bilineata,invertivore,active,3.62,demersal,
Siganus argenteus,herbivore,cropper,2.630000114,benthic,
Siganus corallinus,herbivore,cropper,2.46,benthic,
Siganus doliatus,herbivore,cropper,2,benthic,
Siganus puellus,herbivore,cropper,3,benthic,
Siganus punctatissimus,herbivore,cropper,2,benthic,
Siganus punctatus,herbivore,cropper,2,benthic,
Siganus vulpinus,herbivore,cropper,2.68,benthic,
Stegastes apicalis,herbivore,farmer,2.38,benthic,Trophic level from Stegastes fasciolatus
Stethojulis bandanensis,invertivore,active,3.31,demersal,
Stethojulis trilineata,invertivore,active,3.2,demersal,
Sufflamen chrysopterum,omnivore,picking,3.45,benthic,
Taeniurops meyeni,piscivore,active,4.2,demersal,
Thalassoma hardwicke,invertivore,picking,3.5,benthic,
Thalassoma lunare,invertivore,picking,3.5,benthic,
Thalassoma lutescens,invertivore,picking,3.7,benthic,
Thalassoma nigrofasciatum,invertivore,picking,3.23,demersal,Traits from T. jansenii for now.
Uraspis uraspis,piscivore,active,4.07,pelagic,
Zanclus cornutus,omnivore,picking,2.49,demersal,
Zebrasoma scopas,herbivore,cropper,2,benthic,